iter	Passed	Remaining
0	128	128465
1	130	65160
2	132	44020
3	134	33411
4	136	27080
5	137	22838
6	139	19839
7	142	17614
8	143	15845
9	145	14429
10	147	13280
11	149	12330
12	152	11606
13	157	11124
14	159	10477
15	166	10269
16	168	9724
17	176	9607
18	177	9177
19	178	8770
20	186	8706
21	188	8376
22	193	8200
23	196	7974
24	198	7737
25	203	7618
26	205	7416
27	207	7204
28	209	7013
29	216	7011
30	219	6856
31	229	6946
32	234	6864
33	293	8348
34	324	8944
35	356	9544
36	358	9330
37	368	9316
38	369	9116
39	371	8918
40	412	9655
41	414	9458
42	418	9306
43	419	9125
44	421	8949
45	423	8791
46	426	8641
47	430	8547
48	438	8514
49	440	8374
50	442	8242
51	450	8219
52	453	8104
53	461	8087
54	465	7997
55	469	7906
56	471	7796
57	487	7915
58	490	7820
59	494	7746
60	515	7929
61	576	8722
62	578	8608
63	584	8549
64	586	8439
65	598	8467
66	600	8366
67	605	8294
68	607	8198
69	611	8123
70	616	8065
71	619	7979
72	626	7960
73	630	7893
74	633	7811
75	639	7768
76	642	7701
77	644	7620
78	659	7685
79	661	7612
80	672	7634
81	684	7664
82	691	7637
83	696	7599
84	698	7517
85	700	7447
86	703	7380
87	708	7344
88	717	7347
89	729	7376
90	731	7307
91	738	7289
92	740	7225
93	744	7176
94	750	7148
95	753	7097
96	763	7105
97	765	7045
98	767	6988
99	775	6983
100	799	7118
101	803	7078
102	840	7319
103	842	7256
104	844	7197
105	848	7152
106	853	7124
107	861	7113
108	863	7058
109	871	7050
110	874	7000
111	876	6945
112	877	6891
113	886	6891
114	891	6864
115	900	6862
116	902	6811
117	905	6765
118	909	6735
119	914	6703
120	939	6822
121	941	6773
122	943	6726
123	945	6680
124	957	6705
125	960	6659
126	975	6703
127	977	6656
128	985	6651
129	987	6608
130	998	6624
131	1005	6610
132	1014	6614
133	1022	6611
134	1025	6572
135	1041	6615
136	1056	6658
137	1059	6616
138	1080	6691
139	1087	6679
140	1110	6763
141	1145	6924
142	1150	6893
143	1158	6884
144	1161	6846
145	1165	6817
