iter	Passed	Remaining
0	133	133244
1	134	67301
2	136	45509
3	138	34576
4	141	28094
5	144	23950
6	146	20732
7	147	18287
8	148	16390
9	150	14881
10	154	13907
11	157	12988
12	159	12087
13	160	11306
14	162	10638
15	163	10048
16	164	9529
17	166	9087
18	168	8710
19	170	8333
20	171	7999
21	173	7692
22	174	7406
23	175	7143
24	176	6901
25	178	6677
26	179	6471
27	184	6394
28	185	6218
29	187	6053
30	188	5891
31	189	5740
32	191	5600
33	192	5467
34	193	5340
35	195	5222
36	199	5195
37	201	5093
38	202	4993
39	204	4900
40	205	4813
41	207	4728
42	208	4642
43	210	4562
44	212	4505
45	214	4442
46	216	4381
47	217	4322
48	220	4272
49	221	4216
50	223	4155
51	224	4098
52	228	4087
53	230	4034
54	231	3981
55	233	3930
56	234	3879
57	235	3831
58	237	3784
59	240	3769
60	245	3772
61	246	3729
62	248	3699
63	250	3664
64	251	3622
65	253	3585
66	254	3550
67	256	3515
68	258	3490
69	283	3765
70	287	3756
71	291	3757
72	293	3731
73	295	3702
74	297	3671
75	302	3676
76	306	3677
77	309	3655
78	311	3631
79	314	3616
80	316	3590
81	318	3569
82	319	3531
83	320	3499
84	322	3469
85	323	3439
86	330	3465
87	333	3451
88	336	3439
89	338	3417
90	348	3478
91	350	3458
92	352	3441
93	354	3413
94	355	3386
95	362	3411
96	364	3393
97	366	3370
98	367	3345
99	369	3322
100	370	3298
101	373	3290
102	375	3271
103	377	3249
104	378	3225
105	379	3202
106	381	3180
107	382	3158
108	383	3136
109	385	3115
110	388	3112
111	390	3099
112	392	3083
113	396	3078
114	397	3060
115	399	3041
116	400	3019
117	401	3001
118	403	2987
119	405	2970
120	406	2954
121	407	2936
122	409	2920
123	411	2904
124	412	2889
125	416	2885
126	417	2870
127	418	2853
128	420	2836
129	421	2820
130	422	2804
131	424	2788
132	425	2772
133	426	2758
134	428	2744
135	433	2756
136	435	2745
137	437	2734
138	439	2723
139	441	2713
140	443	2702
141	444	2688
142	447	2683
143	449	2673
144	451	2662
145	453	2652
146	455	2643
147	457	2632
148	459	2622
149	464	2630
150	466	2620
151	467	2610
152	469	2601
153	471	2592
154	473	2582
155	480	2598
156	522	2803
157	527	2808
158	528	2797
159	530	2787
160	532	2773
161	534	2763
162	536	2753
163	538	2743
164	541	2739
165	543	2729
166	545	2719
167	547	2709
168	610	3002
169	612	2990
170	614	2978
171	616	2966
172	618	2954
173	620	2943
174	622	2936
175	625	2926
176	626	2914
177	628	2903
178	630	2892
179	632	2881
180	634	2870
181	636	2861
182	688	3074
183	690	3063
184	692	3051
185	695	3042
186	697	3031
187	699	3019
188	701	3008
189	705	3005
190	706	2994
191	708	2983
192	710	2971
193	712	2960
194	714	2948
195	716	2937
196	724	2952
197	726	2942
198	728	2931
199	730	2920
200	732	2910
201	738	2917
202	740	2906
203	742	2896
204	779	3024
205	786	3033
206	790	3028
207	792	3017
208	794	3006
209	796	2997
210	808	3023
211	810	3012
212	834	3083
213	836	3073
214	838	3063
215	840	3051
216	842	3039
217	844	3030
218	851	3034
219	852	3023
220	854	3012
221	856	3000
222	857	2988
223	859	2977
224	860	2965
225	867	2969
226	869	2959
227	870	2948
228	872	2937
229	874	2927
230	876	2917
231	885	2929
232	886	2919
233	888	2908
234	890	2898
235	892	2888
236	896	2886
237	898	2876
238	900	2866
239	901	2856
240	903	2845
241	905	2835
242	906	2825
243	918	2845
244	920	2836
245	923	2829
246	933	2846
247	935	2835
248	936	2824
249	938	2814
250	939	2804
251	943	2801
252	945	2792
253	947	2782
254	949	2772
255	950	2763
256	952	2754
257	954	2745
258	958	2742
259	960	2733
260	962	2724
261	964	2715
262	966	2707
263	969	2701
264	970	2692
265	972	2683
266	974	2675
267	976	2665
268	984	2674
269	988	2672
270	989	2662
271	991	2652
272	992	2643
273	993	2633
274	995	2624
275	999	2622
276	1001	2614
277	1003	2604
278	1004	2595
279	1005	2586
280	1007	2577
281	1008	2568
282	1009	2558
283	1015	2559
284	1017	2552
285	1018	2543
286	1020	2534
287	1021	2525
288	1023	2516
289	1024	2508
290	1030	2509
291	1032	2502
292	1034	2495
293	1035	2487
294	1037	2479
295	1038	2470
296	1040	2462
297	1043	2458
298	1045	2451
299	1048	2446
300	1051	2442
301	1054	2436
302	1062	2444
303	1065	2439
304	1067	2431
305	1068	2423
306	1069	2415
307	1071	2406
308	1080	2415
309	1083	2412
310	1085	2405
311	1091	2406
312	1093	2399
313	1095	2393
314	1097	2386
315	1099	2378
316	1100	2371
317	1106	2373
318	1108	2366
319	1110	2360
320	1112	2352
321	1114	2346
322	1116	2339
323	1120	2338
324	1122	2332
325	1125	2326
326	1127	2320
327	1129	2314
328	1131	2307
329	1139	2313
330	1141	2307
331	1143	2300
332	1146	2295
333	1148	2289
334	1155	2292
335	1158	2290
336	1162	2287
337	1173	2298
338	1175	2292
339	1177	2286
340	1179	2279
341	1187	2284
342	1190	2279
343	1192	2273
344	1194	2266
345	1202	2272
346	1204	2267
347	1206	2260
348	1208	2255
349	1210	2248
350	1231	2276
351	1234	2271
352	1235	2265
353	1237	2258
354	1239	2252
355	1241	2245
356	1243	2239
357	1248	2238
358	1251	2234
359	1253	2228
360	1255	2221
361	1257	2215
362	1258	2209
363	1268	2215
364	1270	2209
365	1271	2203
366	1273	2197
367	1285	2208
368	1287	2202
369	1289	2195
370	1300	2205
371	1306	2205
372	1312	2205
373	1314	2199
374	1316	2194
375	1318	2187
376	1320	2181
377	1321	2175
378	1326	2173
379	1328	2168
380	1330	2161
381	1332	2156
382	1335	2151
383	1337	2146
384	1341	2143
385	1344	2137
386	1345	2131
387	1347	2125
388	1349	2119
389	1351	2113
390	1353	2107
391	1357	2105
392	1359	2099
393	1361	2094
394	1366	2092
395	1368	2087
396	1377	2091
397	1379	2086
398	1381	2080
399	1383	2074
400	1385	2069
401	1399	2081
402	1401	2076
403	1406	2074
404	1410	2072
